model,test_accuracy
-1--1--1--1--1--1,0.8226999640464783
0--1--1--1--1--1,0.8222999572753906
-1-2-2-2-2-2,0.8134999871253967
0-2-2-2-2-2,0.8125
-1-8-8-8-8-8,0.7294999957084656
0-8-8-8-8-8,0.7277999520301819
2--1--1--1--1--1,0.8222999572753906
2-2-2-2-2-2,0.8125
2-8-8-8-8-8,0.7277999520301819
4--1--1--1--1--1,0.8222999572753906
4-2-2-2-2-2,0.8123999834060669
4-8-8-8-8-8,0.7277999520301819
6--1--1--1--1--1,0.8234999775886536
6-2-2-2-2-2,0.8131999969482422
6-8-8-8-8-8,0.7303999662399292
8--1--1--1--1--1,0.820099949836731
8-2-2-2-2-2,0.8116999864578247
8-8-8-8-8-8,0.7265999913215637
-1-0--1--1--1--1,0.8188999891281128
2--1-2-2-2-2,0.8187999725341797
2-0-2-2-2-2,0.8143999576568604
8--1-8-8-8-8,0.767300009727478
8-0-8-8-8-8,0.7640999555587769
-1-2--1--1--1--1,0.8184999823570251
8-2-8-8-8-8,0.7622999548912048
-1-4--1--1--1--1,0.8175999522209167
2-4-2-2-2-2,0.811199963092804
8-4-8-8-8-8,0.7604999542236328
-1-6--1--1--1--1,0.8105999827384949
2-6-2-2-2-2,0.8033999800682068
8-6-8-8-8-8,0.7530999779701233
-1-8--1--1--1--1,0.7861999869346619
2-8-2-2-2-2,0.7824999690055847
-1--1-0--1--1--1,0.8224999904632568
2-2--1-2-2-2,0.8151999711990356
2-2-0-2-2-2,0.8157999515533447
8-8--1-8-8-8,0.779699981212616
8-8-0-8-8-8,0.7797999978065491
-1--1-2--1--1--1,0.8203999996185303
8-8-2-8-8-8,0.7768999934196472
-1--1-4--1--1--1,0.8140999674797058
2-2-4-2-2-2,0.7989999651908875
8-8-4-8-8-8,0.7664999961853027
-1--1-6--1--1--1,0.8044999837875366
2-2-6-2-2-2,0.7881999611854553
8-8-6-8-8-8,0.7563999891281128
-1--1-8--1--1--1,0.776699960231781
2-2-8-2-2-2,0.76419997215271
-1--1--1-0--1--1,0.8197000026702881
2-2-2--1-2-2,0.8169999718666077
2-2-2-0-2-2,0.8123999834060669
8-8-8--1-8-8,0.7328999638557434
8-8-8-0-8-8,0.7303000092506409
-1--1--1-2--1--1,0.8186999559402466
8-8-8-2-8-8,0.729699969291687
-1--1--1-4--1--1,0.8228999972343445
2-2-2-4-2-2,0.8167999982833862
8-8-8-4-8-8,0.7343999743461609
-1--1--1-6--1--1,0.8211999535560608
2-2-2-6-2-2,0.8145999908447266
8-8-8-6-8-8,0.7311999797821045
-1--1--1-8--1--1,0.8220999836921692
2-2-2-8-2-2,0.8151999711990356
-1--1--1--1-0--1,0.8240999579429626
2-2-2-2--1-2,0.8108999729156494
2-2-2-2-0-2,0.8125999569892883
8-8-8-8--1-8,0.7275999784469604
8-8-8-8-0-8,0.7328000068664551
-1--1--1--1-2--1,0.8237999677658081
8-8-8-8-2-8,0.7321000099182129
-1--1--1--1-4--1,0.8233999609947205
2-2-2-2-4-2,0.8120999932289124
8-8-8-8-4-8,0.7303999662399292
-1--1--1--1-6--1,0.8237999677658081
2-2-2-2-6-2,0.8115999698638916
8-8-8-8-6-8,0.7301999926567078
-1--1--1--1-8--1,0.8226000070571899
2-2-2-2-8-2,0.8086000084877014
-1--1--1--1--1-0,0.8230999708175659
2-2-2-2-2--1,0.8130999803543091
2-2-2-2-2-0,0.8125999569892883
8-8-8-8-8--1,0.726099967956543
8-8-8-8-8-0,0.7271999716758728
-1--1--1--1--1-2,0.8230999708175659
8-8-8-8-8-2,0.7271999716758728
-1--1--1--1--1-4,0.8229999542236328
2-2-2-2-2-4,0.8130999803543091
8-8-8-8-8-4,0.7271999716758728
-1--1--1--1--1-6,0.8229999542236328
2-2-2-2-2-6,0.8130999803543091
8-8-8-8-8-6,0.7271999716758728
-1--1--1--1--1-8,0.8223999738693237
2-2-2-2-2-8,0.8118000030517578
